Question Id,Question Title,Answered Student Count,Top Student Count,Middle Student Count,Bottom Student Count,Quiz Question Count,Correct Student Count,Wrong Student Count,Correct Student Ratio,Wrong Student Ratio,Correct Top Student Count,Correct Middle Student Count,Correct Bottom Student Count,Variance,Standard Deviation,Difficulty Index,Alpha,Point Biserial of Correct,Point Biserial of Distractor 2,Point Biserial of Distractor 3,Point Biserial of Distractor 4,Point Biserial of Distractor 5,Point Biserial of Distractor 6
1102349,"In English, many words beginning with “gl-“ have meanings relating to LIGHT or VISION. This appears to violate the principle of:",200,55,94,51,65,133,67,0.665,0.335,41,67,25,0.222775,0.4719904660054057,0.665,0.8877904144270543,0.1785076622018043,0.062021094680473836,-0.18271114553445353,0.030772230554147757,-0.11219175930150527,
1102350,"According to research discussed in class, iconic words are:",200,55,94,51,65,166,34,0.83,0.17,53,81,32,0.1411,0.375632799419859,0.83,0.8877904144270543,0.41124499733569353,-0.15340381601058065,-0.3225720259083506,-0.22367172635843421,,
1102353,"According to research discussed in class, iconic communication systems:",200,55,94,51,65,152,48,0.76,0.24,47,75,30,0.18239999999999998,0.4270831300812524,0.76,0.8877904144270543,0.3032237843726262,-0.32528213512618426,-0.10717332876307226,,,
1102355,Words referring to abstract concepts are not particularly common.,200,55,94,51,65,193,7,0.965,0.035,54,90,49,0.033775,0.18377975949489106,0.965,0.8877904144270543,0.10880476340508594,-0.10880476340508588,,,,
1102356,Which of the following pieces of evidence is hardest to reconcile with the view that all linguistic knowledge comes from direct sensorimotor experience? (Note: some of these might simply be described as “irrelevant”.),200,55,94,51,65,180,20,0.9,0.1,53,86,41,0.09,0.3,0.9,0.8877904144270543,0.20715152281661664,-0.1167361136501577,-0.15354665395058387,-0.07442792220071485,-0.01947211489743929,
1102357,Purely amodal accounts of cognition have a hard time overcoming:,200,55,94,51,65,147,53,0.735,0.265,43,69,35,0.194775,0.4413332074521472,0.735,0.8877904144270543,0.12184722113849228,0.04567170271733289,-0.04557656179143984,-0.24036884577513457,-0.04149043384284899,0.057733900598252196
1102358,The “argument from introspection” for embodied accounts is best described as:,200,55,94,51,65,174,26,0.87,0.13,55,85,34,0.1131,0.33630343441600474,0.87,0.8877904144270543,0.37457217288552724,-0.21885962383462346,-0.2986542096878599,0.006003522710810892,,
1102359,"(NOTE: The following scenario will be revisited for several questions.)
Suppose we are interested in whether people simulate the implied shape of an object. Participants read sentences like “The lobster was in the sea” (e.g., a living creature) vs. “The lobster was on the plate” (e.g., a dish for dinner). Later, they are shown pictures of different objects, and are asked whether these pictures appeared in the sentences they read before. Some of these pictures match the orientation from before, while others don’t. We measure subjects’ d-prime (d’), a kind of measure of recall accuracy. What are the dependent and independent variables?",200,55,94,51,65,180,20,0.9,0.1,55,84,41,0.09,0.3,0.9,0.8877904144270543,0.21497132392851534,-0.17295459296586171,-0.07608464291577285,-0.12015382019214965,,
1102360,"Suppose we are interested in whether people simulate the implied shape of an object. Participants read sentences like “The lobster was in the sea” (e.g., a living creature) vs. “The lobster was on the plate” (e.g., a dish for dinner). Later, they are shown pictures of different objects, and are asked whether these pictures appeared in the sentences they read before. Some of these pictures match the orientation from before, while others don’t. We measure subjects’ d-prime (d’), a kind of measure of recall accuracy. If people do simulate implied shape, what should we predict about this measure?",200,55,94,51,65,196,4,0.98,0.02,55,93,48,0.0196,0.13999999999999999,0.98,0.8877904144270543,0.21179966964167132,,-0.15000997566921626,-0.01947211489743929,-0.18930969895243996,
1102361,"Consider the same experiment investigating the simulation of implied shape. If we did find evidence consistent with simulation, what could we conclude from this experimental design?",200,55,94,51,65,179,21,0.895,0.105,54,89,36,0.09397499999999999,0.3065534211193866,0.895,0.8877904144270543,0.3648041405883469,-0.10987791188063137,-0.0607917018092114,-0.36721890110628136,,
1102362,"Now we run another study. Now, we want to know whether the degree of simulation is larger when the entity described is the subject or object of a sentence. Thus, some sentences have the entity as the subject (“The lobster was in the sea”, “the lobster was on the plate”), and others have the entity as the object (“He caught the lobster”, “He ate the lobster”). Which of the following would constitute an interaction between Grammatical Role (subject vs. object) and Match Condition (match vs. mismatch)?",199,55,94,50,65,97,102,0.48743718592964824,0.5125628140703518,33,50,14,0.24984217570263376,0.4998421507862595,0.48743718592964824,0.8877904144270543,0.22963922419980068,-0.14085380798167257,-0.20373340364255238,-0.014290402763977098,,
1102365,"Suppose we obtain the following results from this study manipulating both Match/Mismatch and Grammatical Role: 

Which of the following statements best describes this pattern of results?",200,55,94,51,65,164,36,0.82,0.18,47,85,32,0.1476,0.38418745424597095,0.82,0.8877904144270543,0.31410163175991646,-0.13217115285829323,-0.25610615592772745,-0.11656338577764146,-0.11382632826132856,
1102367,"Suppose, instead, we find this pattern of results:
Which of the following statements best describes this pattern of results?",200,55,94,51,65,125,75,0.625,0.375,39,68,18,0.234375,0.4841229182759271,0.625,0.8877904144270543,0.30718554671271425,-0.23081438359157766,-0.14749111866792616,0.07941564575586849,-0.2610452435724503,
1102368,"According to lecture, which of the following modalities is not associated with as much (or possibly any) embodied simulation?",200,55,94,51,65,197,3,0.985,0.015,54,93,50,0.014775,0.12155245781143217,0.985,0.8877904144270543,-0.00757661585123371,0.007576615851233707,,,,
1102370,The linguistic distributional hypothesis states that the degree of semantic similarity between two expressions can be modeled as a function of:,200,55,94,51,65,194,6,0.97,0.03,55,92,47,0.0291,0.1705872210923198,0.97,0.8877904144270543,0.24454377740845445,-0.30765374755077535,-0.02961378430346169,-0.01947211489743929,,
1102372,What is one potential problem with the hypothesis that word meanings are a function of distributional regularities in word usage?,200,55,94,51,65,156,44,0.78,0.22,49,80,27,0.1716,0.4142463035441596,0.78,0.8877904144270543,0.3355059280310556,-0.041935932414677975,-0.1131149525976965,-0.2944189614472197,-0.1743211806692039,
1102373,Consider the very simple corpus of sentences: “Maurice likes dolphins”; “Maurice likes plants”; “Maurice befriends dolphins”; “Maurice befriends plants”; “Maurice fears sharks”; and “Maurice hates sharks”. Which words does “dolphin” co-occur with (excluding “dolphin” itself)?,200,55,94,51,65,195,5,0.975,0.025,55,92,48,0.024375,0.15612494995995996,0.975,0.8877904144270543,0.09897420590330398,-0.09181848317576813,,-0.05196537636755647,,
1102374,"Again, consider the same simple corpus of sentences: “Maurice likes dolphins”; “Maurice likes plants”; “Maurice befriends dolphins”; “Maurice befriends plants”; “Maurice fears sharks”; and “Maurice hates sharks”. If we represented each word as a count vector reflecting how many times it co-occurs with all the other words (i.e., in the same sentence), which of the following pairs of words would have the most similar vectors?",200,55,94,51,65,159,41,0.795,0.205,49,77,33,0.16297499999999998,0.403701622488689,0.795,0.8877904144270543,0.22339704514856998,-0.01702498259099865,-0.2564205039396949,-0.02424825392726723,-0.17591607548234373,
1102375,Landauer  Dumais (1997) asked whether latent semantic analysis (LSA) could be used to model judgments about word relatedness. Which of the following best describes their results?,200,55,94,51,65,177,23,0.885,0.115,53,86,38,0.101775,0.31902194281898544,0.885,0.8877904144270543,0.2564156662081961,-0.22301899287006635,-0.02992442169207877,-0.21852905621784424,,
1102376,Performance on the “MNPQ task” is improved when:,200,55,94,51,65,198,2,0.99,0.01,55,94,49,0.009899999999999999,0.09949874371066199,0.99,0.8877904144270543,0.11455998598929978,,-0.06664922157938388,-0.0949554855885507,,
1102377,"Like humans, models like GPT-3 show evidence of social biases.",200,55,94,51,65,186,14,0.93,0.07,54,91,41,0.06509999999999999,0.25514701644346144,0.93,0.8877904144270543,0.28116061257661445,-0.28116061257661457,,,,
1102390,"According to researchers like Zipf (1949), languages are subject to a speaker-centric pressure called ______, and a comprehender-centric pressure called ________.",199,55,94,50,65,187,12,0.9396984924623115,0.06030150753768844,55,92,40,0.05666523572637055,0.23804460868999017,0.9396984924623115,0.8877904144270543,0.25752120109869164,-0.21892867284852421,-0.012518439993613722,,,-0.1856200645898885
1102392,Which of the following pieces of evidence––if true––would be most inconsistent with the view that language is shaped solely by a drive for efficiency?,199,55,94,50,65,126,73,0.6331658291457286,0.36683417085427134,38,66,22,0.23226686194793061,0.48194072451695824,0.6331658291457286,0.8877904144270543,0.24895712596640843,-0.008631095879750939,-0.10981476330908783,-0.3033233315755033,-0.04286526973807685,
1102394,"Although color naming systems differ in exactly how they “carve up” the color space, all color naming systems have the same number of color terms.",200,55,94,51,65,195,5,0.975,0.025,54,93,48,0.024375,0.15612494995995996,0.975,0.8877904144270543,0.09215387397386003,-0.09215387397386,,,,
1102396,"Although color naming systems differ in exactly how they “carve up” the color space, they all tend to maximize within-category similarity and across-category dissimilarity.",200,55,94,51,65,197,3,0.985,0.015,55,93,49,0.014775,0.12155245781143217,0.985,0.8877904144270543,0.07769846725751642,-0.07769846725751638,,,,
1102397,"In languages with case marking, the question of “who did what to whom” is typically determined by strict rules about word ordering.",200,55,94,51,65,146,54,0.73,0.27,48,76,22,0.19709999999999997,0.4439594576084622,0.73,0.8877904144270543,0.38520369679313776,-0.38520369679313776,,,,
1102399,Suppose a researcher discovers that people are more likely to “twitch” their ears at the end of a turn-constructional unit (TCU) than elsewhere in a conversation. Does this entail that “ear-twitching” is intended as a communicative signal?,200,55,94,51,65,160,40,0.8,0.2,51,84,25,0.16,0.4,0.8,0.8877904144270543,0.412534439551968,-0.32188806297702266,-0.2434806176635479,-0.07608464291577285,,
1102402,"Suppose Tyler is telling Harshada about an event that happened recently. Harshada isn’t sure she heard correctly, so she says: “This was yesterday?” What conversational device is this an example of?",200,55,94,51,65,166,34,0.83,0.17,52,84,30,0.1411,0.375632799419859,0.83,0.8877904144270543,0.36895411434042835,-0.20904178403365375,-0.26093200548859835,-0.1421325922704953,-0.06674821581498028,
1102405,"In a study investigating open request repairs across ten languages, Dingemanse et al (2013) found:",200,55,94,51,65,169,31,0.845,0.155,51,81,37,0.130975,0.36190468358395145,0.845,0.8877904144270543,0.2654126866279899,-0.2545827760289607,0.006003522710810892,-0.1808960303483184,,
1102407,Consider the following transcript: “I was thinking {uh} of going to that {um} movie tonight”. Which of the following predictions would be most consistent with Clark  Fox Tree (2002)?,200,55,94,51,65,186,14,0.93,0.07,54,91,41,0.06509999999999999,0.25514701644346144,0.93,0.8877904144270543,0.21523434166659078,-0.14048139353662722,-0.17865654573017434,-0.04299113889965665,,
1102408,Conversations succeed in part because:,200,55,94,51,65,160,40,0.8,0.2,51,76,33,0.16,0.4,0.8,0.8877904144270543,0.33337975063737235,0.027704991784505372,-0.10389116797595228,-0.2544792109329777,-0.19147495769638792,
1102410,"According to politeness theory, a request’s “weightiness” is determined by several factors. What is not explicitly included in these factors?",200,55,94,51,65,194,6,0.97,0.03,55,92,47,0.0291,0.1705872210923198,0.97,0.8877904144270543,0.20826152044299906,-0.06664922157938388,-0.15332942424570908,-0.1326971709341064,,
1102412,"Consider the following exchange between Pam and Ana:
Pam: “Are you nervous about your talk?”
Ana: “I think I have a rock in my shoe.”
Which of the following maxims does Ana’s response violate––if any?",200,55,94,51,65,194,6,0.97,0.03,55,94,45,0.0291,0.1705872210923198,0.97,0.8877904144270543,0.2377164709902237,,-0.20989819824668046,-0.09165308812081456,-0.06664922157938388,
1102414,"Grice argued that many meanings are implicit, but that communication succeeds because:",200,55,94,51,65,183,17,0.915,0.085,55,92,36,0.07777500000000001,0.2788816953476868,0.915,0.8877904144270543,0.38631355493016273,-0.26425701661462153,-0.1283433801792461,,-0.23654607560424107,
1102415,"According to Trott  Bergen (2018; 2020), a comprehender’s decision of whether a speaker is making a request depends in part on the speaker’s knowledge of whether or not there is an obstacle to fulfilling the request.",200,55,94,51,65,191,9,0.955,0.045,53,91,47,0.042975000000000006,0.20730412441627882,0.955,0.8877904144270543,0.0721474682105408,-0.07214746821054077,,,,
1102418,Which of the following is an example of scalar implicature?,200,55,94,51,65,192,8,0.96,0.04,54,92,46,0.038400000000000004,0.19595917942265426,0.96,0.8877904144270543,0.1440318214829338,-0.14403182148293373,,,,
1102419,Which of the following pieces of evidence––if true––would be most inconsistent with politeness theory’s predictions about request weightiness and indirectness?,200,55,94,51,65,101,99,0.505,0.495,35,52,14,0.24997499999999997,0.4999749993749687,0.505,0.8877904144270543,0.34360762843125003,-0.20255522499498999,0.007262873909023042,-0.27512063192854513,-0.08943415260029484,
1102422,"According to Kelly (1999), nonverbal cues like gesture and eye gaze help signal:",200,55,94,51,65,148,52,0.74,0.26,47,73,28,0.1924,0.4386342439892262,0.74,0.8877904144270543,0.29149086311559425,-0.26315569308156556,-0.04777837890660604,-0.08346388721655607,,
1102424,Suppose that a monolingual Aymara speaker is referring to an event that happened five years ago. How would you expect them to gesture while describing this event?,200,55,94,51,65,185,15,0.925,0.075,52,87,46,0.069375,0.26339134382131846,0.925,0.8877904144270543,0.15603952593321546,-0.12208238821130503,-0.027607181114032486,,-0.1326971709341064,
1102428,Conceptual metaphor theory is argued by some to offer a solution to:,200,55,94,51,65,196,4,0.98,0.02,54,94,48,0.0196,0.13999999999999999,0.98,0.8877904144270543,0.09438381100099918,-0.050609005307522666,,,-0.07934100497389696,
1102429,Speakers of Dutch and Farsi differ in the metaphors they use to talk about pitch.,200,55,94,51,65,193,7,0.965,0.035,54,90,49,0.033775,0.18377975949489106,0.965,0.8877904144270543,0.06897086172388629,-0.06897086172388626,,,,
1102430,"Speakers of Dutch and Farsi both think about pitch in terms of height, as shown by interference tasks.",200,55,94,51,65,195,5,0.975,0.025,54,93,48,0.024375,0.15612494995995996,0.975,0.8877904144270543,0.20000037260819292,-0.20000037260819284,,,,
1102433,Consider the following sentences about the mind: “My mind is so empty today”; “My head is full of thoughts”; “I’m bursting with ideas”. What metaphor system is operating here?,200,55,94,51,65,171,29,0.855,0.145,51,88,32,0.12397499999999999,0.35210083782916507,0.855,0.8877904144270543,0.38038414738886334,-0.02727274724912751,-0.2312792963673201,-0.1256734632710685,-0.28959428578921664,
1102435,Which of the following statements best characterizes cross-linguistic differences in spatial metaphors for time?,200,55,94,51,65,185,15,0.925,0.075,54,89,42,0.069375,0.26339134382131846,0.925,0.8877904144270543,0.3346783110444032,-0.1024650644297095,-0.24571417279443686,-0.20818054162521782,-0.050609005307522666,-0.11219175930150527
1102436,"Suppose we ran a conceptual replication of Boroditsky et al (2010) on Hebrew speakers, who describe the past as “to the right” and the future as “to the left”. Participants are shown two pictures, and are then asked to indicate which picture happened first, either by pressing the RIGHT or LEFT key. We manipulate the key mappings across two conditions (e.g., RIGHT = earlier vs. RIGHT = later). Which of the following results would be inconsistent with the claim that spatial metaphors structure how we think about time?",200,55,94,51,65,166,34,0.83,0.17,53,77,36,0.1411,0.375632799419859,0.83,0.8877904144270543,0.2796064298221521,-0.2564573910837385,-0.09750908811054605,,,
1104669,Which of the following is not true of Nicaraguan Sign Language (NSL)?,200,55,94,51,65,130,70,0.65,0.35,43,66,21,0.2275,0.47696960070847283,0.65,0.8877904144270543,0.2904463908892844,-0.2651901083695227,-0.06839075353136075,-0.053607914083936815,,
1104670,(T/F) Children who are born deaf––without access to a conventionalized sign language––typically learn homesign through explicit maternal instruction.,200,55,94,51,65,152,48,0.76,0.24,49,78,25,0.18239999999999998,0.4270831300812524,0.76,0.8877904144270543,0.33352453388711917,-0.33352453388711917,,,,
1104733,"According to the cultural transmission view of human language, what is one “linguistic analog” for the biological units of selection (e.g., genes)?",200,55,94,51,65,102,98,0.51,0.49,38,48,16,0.24989999999999998,0.4998999899979995,0.51,0.8877904144270543,0.3069304198558714,-0.3182560010553999,-0.1419941063112102,-0.004602949775129354,,
1104734,"(T/F) Compared to languages with more L2 speakers, languages with a very high proportion of L1 speakers are more likely to have case marking.",200,55,94,51,65,191,9,0.955,0.045,55,90,46,0.042975000000000006,0.20730412441627882,0.955,0.8877904144270543,0.15352937510486256,-0.1535293751048625,,,,
1104735,"In the bee “waggle dance”, the angle of deviation appears to communicate information about the _____ of the nectar:",200,55,94,51,65,192,8,0.96,0.04,55,93,44,0.038400000000000004,0.19595917942265426,0.96,0.8877904144270543,0.20414441904877773,-0.09576638213770111,-0.1421325922704953,-0.1309871353545691,,
1104736,"Based on our current knowledge, what is one way in which the Campbell’s monkey alarm call is different from vervet alarm calls?",200,55,94,51,65,178,22,0.89,0.11,53,89,36,0.09790000000000001,0.31288975694324034,0.89,0.8877904144270543,0.4357190993673207,-0.06127309009371223,-0.31067637516340024,-0.2260607051041011,-0.1543986400078009,-0.12765898946408757
1104737,"According to some researchers, human linguistic knowledge is too rich to be fully explained by learning from direct evidence alone. This is known as the _________ argument, and is often used to support ________ accounts of language origins.",200,55,94,51,65,182,18,0.91,0.09,52,91,39,0.0819,0.2861817604250837,0.91,0.8877904144270543,0.3160282594501343,-0.24833353195124927,-0.11455998598929974,-0.23699416562529702,-0.07519728326180708,-0.07891526931668948
1104738,"Suppose a new animal communication system is discovered. Animals in this community use signals to refer to other animals in the immediate environment. However, they are not born with knowledge of the communication system; they also appear to be able to combine signals to refer to new referents. The key limitation is they can’t refer to things that aren’t immediately co-present. Which design feature of human language does this system not clearly display?",200,55,94,51,65,181,19,0.905,0.095,53,90,38,0.085975,0.293214938227915,0.905,0.8877904144270543,0.33021156570109794,-0.22169427372686665,-0.14021110553595212,-0.21637071007911876,,
1104739,Which of the following pieces of evidence might force us to revise our estimate of when spoken language evolved?,200,55,94,51,65,179,21,0.895,0.105,54,85,40,0.09397499999999999,0.3065534211193866,0.895,0.8877904144270543,0.28637823732286033,-0.0728734158451675,-0.07869667199232648,-0.2700342101872609,,
1104740,The “poverty of the stimulus” argument makes at least one specific empirical claim. What is this claim? (Note: an empirical claim is distinct from a theoretical premise or conclusion––it means something that can be tested and falsified with real-world data.),200,55,94,51,65,132,68,0.66,0.34,43,67,22,0.22440000000000002,0.4737087712930805,0.66,0.8877904144270543,0.3016162885504425,-0.17598176172583824,-0.13155081605612715,-0.15594571657996895,,
1104742,"Unlike some written languages like English, spoken language:",199,55,94,50,65,173,26,0.8693467336683417,0.1306532663316583,51,84,38,0.11358299032852706,0.33702075652476815,0.8693467336683417,0.8877904144270543,0.21479565126572372,-0.05375652219071152,-0.20053138860441147,-0.1001890424682575,,
1104802,"Using two different speakers, a researcher plays infants a combination of real words in English that they’ve already heard, as well as “part-words” assembled out of other English syllables. According to the results of Saffran et al (1996), which stimuli should cause infants to look longer at a particular speaker, and why?",199,55,94,50,65,155,44,0.7788944723618091,0.22110552763819097,47,78,30,0.17221787328602814,0.41499141350879554,0.7788944723618091,0.8877904144270543,0.2995175708136767,-0.2759913694767607,0.11019908263513062,-0.13576200261968685,,
1104805,Which of the following was not one of the mechanisms we discussed for segmenting words in the speech stream?,199,55,94,50,65,176,23,0.8844221105527639,0.11557788944723618,53,87,36,0.10221964091815863,0.3197180647354144,0.8844221105527639,0.8877904144270543,0.39140054405040603,-0.09851582865918837,-0.32438316134478434,-0.17557491069179765,,
1104806,"When learning new labels, there are many possible referents to which this label could refer. What is this problem sometimes called?",200,55,94,51,65,187,13,0.935,0.065,55,90,42,0.060775,0.246525860712421,0.935,0.8877904144270543,0.34784945229117104,-0.2403217405665308,-0.18446348092802253,-0.20034227233739982,-0.010036693561050334,
1104808,"Based on studies comparing human and animal learning of sequences, statistical learning is most likely:",200,55,94,51,65,187,13,0.935,0.065,51,90,46,0.060775,0.246525860712421,0.935,0.8877904144270543,0.06972576390416922,-0.00954775240916925,-0.14032246822555808,0.043961665975610596,0.009246380025990635,
1104809,"(T/F) Word learning is driven by biases like “whole-object” bias, but is not subject to social biases like the perceived reliability of the speaker.",200,55,94,51,65,181,19,0.905,0.095,54,88,39,0.085975,0.293214938227915,0.905,0.8877904144270543,0.27806481305821795,-0.278064813058218,,,,
1104810,The basic “meaningful units” in a language system are called:,200,55,94,51,65,185,15,0.925,0.075,54,89,42,0.069375,0.26339134382131846,0.925,0.8877904144270543,0.22893526780673434,-0.15808310273318565,,,-0.16741771005703063,
1104811,Which human learning bias is the phenomenon of “fast mapping” in dogs most closely associated with?,200,55,94,51,65,184,16,0.92,0.08,55,91,38,0.0736,0.2712931993250107,0.92,0.8877904144270543,0.42345673002855566,-0.20818054162521782,-0.16138072707598208,-0.17234413819561553,-0.2894869197586893,
1104812,Which of the following words contains a derivational affix?,200,55,94,51,65,183,17,0.915,0.085,55,90,38,0.07777500000000001,0.2788816953476868,0.915,0.8877904144270543,0.32379065370379967,,-0.3237906537037998,,,
1104814,What is one challenge to the purely rule-based account of morphology?,200,55,94,51,65,88,112,0.44,0.56,36,42,10,0.2464,0.4963869458396343,0.44,0.8877904144270543,0.36550282833680503,-0.1502564552307226,-0.26526132684717313,-0.14049449232952227,,
